Time|s,control_Room.Energy_Excess
0,2.5368539e+08
10,2.5395523e+08
33.228497,2.5456854e+08
100,2.5613477e+08
180,2.5773277e+08
300,2.5922968e+08
358.64984,2.5938318e+08
360,2.5938128e+08, 2.5941346e+08
418.08374,2.5253226e+08
485.4471,2.3321885e+08
540,2.1562373e+08
600,2.041189e+08
720,2.207014e+08
900,2.1889238e+08
971.92377,2.1433869e+08
1000,2.1292859e+08
1080,2.0908304e+08
1260,1.9998384e+08
1440,1.9067624e+08
1620,1.8126157e+08
1800,1.7172563e+08
1948.3269,1.6378626e+08
1948.3289,1.6378616e+08
1948.3479,1.6378502e+08, 1.6378488e+08, 1.6378488e+08
1948.3645,1.6378424e+08
1980,1.6208157e+08
2160,1.5237011e+08
2322.0935,1.4359358e+08
2340,1.4261928e+08
2520,132902344
2700,1.2316009e+08
2880,1.1350555e+08
3060,1.0380471e+08
3111.217,1.0103573e+08
3240,9.179817e+07
3420,7.850919e+07
3600,64832884
3632.1443,61565436
3780,55313908
3960,5.577963e+07
4140,55849144
4320,55904916
4500,5.595934e+07
4680,56014444
4860,5.606967e+07
5040,56124156
5220,5.617726e+07
5400,56229252
5580,5.627932e+07
5760,5.632744e+07
5940,56373764
6120,5.64174e+07
6300,5.645877e+07
6480,5.649781e+07
6660,5.653444e+07
6840,5.656872e+07
7020,56600764
7049.4,56605784
7200,5.66303e+07
7380,5.664296e+07
7560,56653108
7740,5.666006e+07
7920,5.666686e+07
8100,56671012
8280,5.667489e+07
8460,5.667654e+07
8640,56677824
8820,5.667813e+07
9000,56677436
9180,5.66759e+07
9360,56673516
9540,56670196
9720,5.666595e+07
9900,56660812
10080,56654772
10260,56648016
10440,56640576
10620,5.663237e+07
10800,56623384
10980,56606864
11160,56589604
11340,5.657139e+07
11520,56553136
11700,5.653346e+07
11880,5.651363e+07
12060,5.649381e+07
12240,5.647398e+07
12420,5.645314e+07
12600,5.643206e+07
12780,56410976
12960,56389896
13140,5.636767e+07
13320,56344988
13500,56322308
13680,56299624
13860,5.627694e+07
14040,56254256
14220,56231572
14400,5.620889e+07
14580,5.610156e+07
14760,55993976
14940,5.588607e+07
15120,5.577815e+07
15300,55669748
15480,55561292
15660,5.545284e+07
15840,55344384
16020,55235356
16200,55126196
16380,5.501703e+07
16560,54907868
16740,54798704
16920,54689544
17100,5.458038e+07
17140.814,54555628
17141.02,54555504
17141.033,54555496
17141.215,5.455534e+07, 5.455536e+07, 5.455536e+07
17280,54471256
17460,54362028
17470.59,5.43556e+07
17640,54252756
17820,54143388
18000,5.403395e+07
18180,53662252
18360,53290468
18540,52918576
18720,5.254668e+07
18900,5.217462e+07
19080,51802548
19260,5.143047e+07
19440,51058396
19620,5.068613e+07
19800,50313816
19980,49941504
20160,4.956919e+07
20340,49196876
20520,48824564
20700,48452252
20880,4.807994e+07
21060,47707576
21240,47335176
21420,4.696278e+07
21600,4.659038e+07
21780,4.567845e+07
21960,44766484
22140,43854484
22320,4.294248e+07
22500,4.203045e+07
22680,41118412
22860,4.020635e+07
23040,39294284
23220,3.838221e+07
23400,3.747012e+07
23580,3.655802e+07
23760,3.564591e+07
23940,34733796
24120,33821664
24300,32909526
24480,31997376
24660,31085218
24840,30173052
25020,29260876
25200,28348692
25380,28154436
25560,27961592
25740,27768766
25920,27575948
26100,27383124
26280,2.71903e+07
26460,26997464
26640,26804626
26820,26611788
27000,2.641895e+07
27180,26226104
27360,26033256
27540,25840408
27720,2.564756e+07
27900,25454704
28080,25261848
28260,25068992
28440,24876134
28620,24683274
28800,24490412
28980,25083822
29160,25674392
29340,26264896
29520,26855386
29700,27445868
29880,28036346
30060,28626822
30240,29217294
30420,29807766
30600,30398236
30780,30988704
30960,31579172
31140,32169636
31320,3.27601e+07
31500,3.335056e+07
31680,3.394102e+07
31860,3.453148e+07
32040,35121936
32220,3.571239e+07
32400,36302844
32580,36158324
32760,3.601522e+07
32940,35872148
33120,3.572908e+07
33300,35586012
33480,35442948
33660,35299884
33840,3.515682e+07
34020,35013756
34200,3.487069e+07
34380,34727624
34560,3.458456e+07
34740,34441496
34920,34298428
35100,34155364
35280,3.40123e+07
35460,33869236
35640,3.372617e+07
35820,33583104
36000,33440038
36180,33916204
36360,34392372
36540,3.486854e+07
36720,35344708
36900,35820876
37080,3.629704e+07
37260,3.677321e+07
37440,37249376
37620,3.772554e+07
37800,38201708
37980,38677876
38160,39154044
38340,3.963021e+07
38520,40106376
38700,40582544
38880,41058708
39060,41534876
39240,42011044
39420,4.248721e+07
39600,42963376
39780,4.318141e+07
39960,43399436
40140,43617468
40320,43835496
40500,44053524
40680,44271556
40860,44489584
41040,44707616
41220,44925644
41400,45143676
41580,45361704
41760,45579736
41940,45797764
42120,46015796
42300,46233824
42480,46451856
42660,46669884
42840,4.688791e+07
43020,47105944
43200,47323972
43380,4.591344e+07
43560,44654464
43740,43398784
43920,42143736
44100,40888852
44280,3.963396e+07
44460,3.837908e+07
44640,37124116
44820,35869076
45000,34613972
45180,3.335879e+07
45360,32103532
45540,30848198
45720,2.959279e+07
45900,28337304
46080,27081744
46260,25826096
46440,24570358
46620,23314538
46800,22058634
46980,2.235592e+07
47160,22416582
47340,22471922
47520,22526062
47700,22579596
47880,22632898
48060,2.268616e+07
48240,22739384
48420,2.279233e+07
48600,22845172
48780,22897974
48960,22950738
49140,23003308
49320,23055774
49500,23108202
49680,2.316059e+07
49860,23212896
50040,23265112
50220,2.331726e+07
50400,23369336
50580,2.426219e+07
50760,25176762
50940,26091736
51120,27006792
51300,27921814
51480,28836822
51660,29751782
51840,30666718
52020,31581618
52200,32496484
52380,33411316
52560,3.432611e+07
52740,35240876
52920,36155604
53100,3.70703e+07
53280,3.798496e+07
53460,38899588
53640,39814184
53820,40728748
54000,41643276
54180,41701756
54360,41825124
54540,4.194994e+07
54720,42075076
54900,42200364
55080,4.232571e+07
55260,42451056
55440,4.25764e+07
55620,42701852
55800,4.282733e+07
55980,4.295281e+07
56160,43078284
56340,43203764
56520,4.332924e+07
56700,4.345472e+07
56880,4.35802e+07
57060,43705704
57240,43831228
57420,43956748
57600,4.408227e+07
57780,4.432523e+07
57960,44568204
58140,4.48112e+07
58320,4.505419e+07
58500,45297216
58680,4.554024e+07
58860,45783264
59040,4.602629e+07
59220,46269348
59400,46512412
59580,4.675548e+07
59760,46998548
59940,47241612
60120,4.748468e+07
60300,47727748
60480,47970812
60660,4.821389e+07
60840,4.845697e+07
61020,48700052
61200,48943132
61380,48539988
61560,4.813685e+07
61740,4.773371e+07
61920,4.733058e+07
62100,46927452
62280,46524332
62460,4.612121e+07
62640,45718084
62820,45314972
63000,44911864
63180,44508756
63360,44105644
63540,43702536
63720,43299428
63900,42896316
64080,4.249321e+07
64260,42090104
64440,4.1687e+07
64620,41283896
64800,4.088079e+07
64980,3.984612e+07
65160,3.884869e+07
65340,37852092
65520,36855676
65700,3.585932e+07
65880,34862988
66060,3.386668e+07
66240,32870376
66420,31874076
66600,30877784
66780,29881496
66960,28885212
67140,27888934
67320,2.689266e+07
67500,2.589639e+07
67680,24900124
67860,23903862
68040,2.29076e+07
68220,21911342
68400,20915086
68436.76,20749134
68580,20499198
68760,20471706
68940,20444352
69120,2.041681e+07
69300,20388836
69480,20360014
69660,20330544
69840,20300748
70020,20270104
70200,20238612
70380,20206268
70560,20173076
70740,20139032
70920,20104444
71100,2.00691e+07
71280,20032902
71460,19995854
71640,19957954
71820,19919202
72000,19879582
72005.03,19940656
72005.47,19946018
72005.48,19946078
72005.664,19948326, 1.994833e+07, 1.994833e+07
72005.68,19948664, 1.994866e+07, 1.994866e+07
72180,21116396
72360,21505376
72540,21878442
72720,2.224854e+07
72900,22616274
73080,22982302
73260,2.334677e+07
73440,23710222
73620,24072542
73800,24433132
73980,24792706
74160,25151232
74340,2.550807e+07
74520,25863894
74700,26218708
74880,26571926
75060,26924098
75240,2.727526e+07
75420,2.762521e+07
75600,27974002
75780,27748154
75960,27966416
76140,28195204
76320,2.842586e+07
76500,28656926
76680,28888404
76860,29119882
77040,2.935136e+07
77220,29583016
77400,29814832
77580,30046648
77760,30278466
77940,30510392
78120,3.074245e+07
78300,30974508
78480,31206566
78660,3.143865e+07
78840,31670802
79020,31902988
79200,32135204
79380,32798476
79560,33461804
79740,34125204
79920,3.478861e+07
80100,35452124
80280,36115644
80460,3.677917e+07
80640,37442692
80820,38106344
81000,38770028
81180,3.943371e+07
81360,4.009739e+07
81540,40761076
81720,4.142476e+07
81900,4.208844e+07
82080,42752124
82260,4.341584e+07
82440,4.407958e+07
82620,4.474332e+07
82800,4.540706e+07
82980,4.569204e+07
83160,45977036
83340,46262056
83520,4.654708e+07
83700,4.683214e+07
83880,47117204
84060,47402268
84240,47687332
84420,4.797244e+07
84600,48257556
84780,48542676
84960,4.882779e+07
85140,4.911291e+07
85320,49398028
85500,49683148
85680,49968264
85860,50253396
86040,50538532
86220,5.082367e+07
86400,5.110881e+07
86580,51108724
86760,5.110865e+07
86940,5.110858e+07
87120,51108508
87300,51108452
87480,5.11084e+07
87660,51108344
87840,51108292
88020,51108252
88200,51108216
88380,5.110818e+07
88560,51108144
88740,51108108
88920,5.110807e+07
89100,51108036
89280,5.1108e+07
89460,5.110797e+07
89640,5.110794e+07
89820,51107908
90000,5.110788e+07
