Hour,Net_Grid,Electric_Demand,PV_Production
258,25.744080444401256,51.48816088880251,0.0
259,44.075963827542274,88.15192765508455,0.0
260,90.92847144269207,181.85694288538414,0.0
261,61.827914354506014,123.65582870901203,0.0
262,54.50186489213018,109.00372978426036,0.0
263,46.968519318203604,93.93703863640721,0.0
264,9.630952496851977,19.261904993703954,0.0
265,18.833575773495017,37.667151546990034,0.0
266,21.988584730516642,43.977169461033284,0.0
267,23.621291709043213,47.242583418086426,0.0
268,25.018386735296744,50.03677347059349,0.0
269,26.55885054845778,53.11770109691556,0.0
270,30.075204074231447,60.150408148462894,0.0
271,81.36698068848717,162.73396137697435,0.0
272,69.8694261843352,142.1925922940452,1.2268699626873967
273,17.359546154538442,39.9824576298113,2.6316826603672094
274,28.56933677895016,65.8360625401692,4.348694491134439
275,22.473313094721405,54.739785712116856,4.896579761337022
276,18.147867768152416,45.4835354205113,4.593899942103233
277,38.637454443883385,85.1786106486019,3.9518508804175667
278,33.62419218440905,72.4983568816627,2.6249862564223045
279,19.027086016723025,40.27949625918898,1.112662112871464
280,18.872629662382984,37.74525932476597,0.0
281,20.389454936649837,40.778909873299675,0.0
282,24.539714884163555,49.07942976832711,0.0
283,43.88331920606293,87.76663841212586,0.0
284,91.04324428012342,182.08648856024683,0.0
285,61.94837594765982,123.89675189531964,0.0
286,54.785300428606995,109.57060085721399,0.0
287,47.40398999343082,94.80797998686164,0.0
288,10.080568335571948,20.161136671143897,0.0
289,19.540098281805623,39.080196563611246,0.0
290,23.034649221121754,46.06929844224351,0.0
291,25.649523526937728,51.299047053875455,0.0
292,27.02882913354326,54.05765826708652,0.0
293,28.826386497069745,57.65277299413949,0.0
294,32.72347712176619,65.44695424353237,0.0
295,82.48331056182754,164.96662112365507,0.0
296,71.70906699621398,145.1262007309548,0.8540333692634177
297,14.617867351606142,33.76702303679793,2.265644166792823
298,24.106564389004525,54.94651625968322,3.366693740837084
299,21.40397799039794,52.81119952434057,5.0016217717723475
300,17.408963464270563,44.53144965017127,4.85676136081507
301,30.80923843146796,70.08454537448046,4.2330342557722656
302,22.171832412337636,50.31842210713856,2.987378641231644
303,13.644133402208949,30.06653140060743,1.389132298094767
304,15.555751442176016,31.11150288435203,0.0
305,19.47720554531458,38.95441109062916,0.0
306,23.098552630409507,46.197105260819015,0.0
307,46.624946885428685,93.24989377085737,0.0
308,93.77284306447578,187.54568612895156,0.0
309,64.3031592727612,128.6063185455224,0.0
310,54.65102284642916,109.30204569285831,0.0
311,48.01105383027626,96.02210766055252,0.0
312,9.63874796036227,19.27749592072454,0.0
313,19.980931620715925,39.96186324143185,0.0
314,22.866195577663444,45.73239115532689,0.0
315,25.207789175411865,50.41557835082373,0.0
316,26.71468267013173,53.42936534026346,0.0
317,28.82533048528859,57.65066097057718,0.0
318,32.564125326850366,65.12825065370073,0.0
319,81.85045494099062,163.70090988198123,0.0
320,69.24917766812345,142.16174732483796,1.8316959942955255
321,12.123319761708489,30.91812692078947,3.3357436986862457
322,21.904719075518397,52.390061387618594,4.290311618290899
323,22.45494802713773,54.78798457614507,4.939044260934807
324,20.146802857562218,49.43994992633204,4.5731721056038035
325,31.928164686500278,71.10002079088412,3.6218457089417804
326,22.310196625542744,50.13546965769891,2.7575382033067126
327,13.843740455567623,30.41789970744884,1.3652093981567965
328,15.24141467589099,30.48282935178198,0.0
329,18.981610334294032,37.963220668588065,0.0
330,22.65391676770441,45.30783353540882,0.0
331,45.945766303302435,91.89153260660487,0.0
332,93.46768794646667,186.93537589293334,0.0
333,63.917724501011136,127.83544900202227,0.0
334,54.64222766158626,109.28445532317252,0.0
335,47.85852481521199,95.71704963042399,0.0
336,10.257002785051395,20.51400557010279,0.0
337,21.42706948148266,42.85413896296532,0.0
338,24.468869123152118,48.937738246304235,0.0
