Time|s,control_Room.Energy_Excess
0,2.5368539e+08
10,2.5396749e+08
33.228497,2.5460923e+08
100,2.5625722e+08
180,2.5795318e+08
300,2.5959702e+08
358.64984,2.5982235e+08
360,2.598221e+08, 2.5985426e+08
418.08374,2.530442e+08
485.4471,2.3381326e+08
540,2.1628494e+08
600,2.0485358e+08
720,2.2158304e+08
900,2.199944e+08
971.92377,2.1552878e+08
1000,2.1415306e+08
1080,2.1040547e+08
1260,2.0152667e+08
1440,1.9243949e+08
1620,1.8324522e+08
1800,1.7392968e+08
1948.3269,1.6617194e+08
1948.3289,1.6617184e+08
1948.3479,1.6617072e+08, 1.661706e+08, 1.661706e+08
1948.3645,1.6616997e+08
1980,1.6450603e+08
2160,1.5501498e+08
2322.0935,1.4643693e+08
2340,1.4548456e+08
2520,1.3598803e+08
2700,1.2646618e+08
2880,1.1703205e+08
3060,1.0755161e+08
3111.217,104845336
3240,9.576547e+07
3420,8.26969e+07
3600,6.9241e+07
3632.1443,6.597335e+07
3780,59720892
3960,6.018549e+07
4140,60253868
4320,6.030851e+07
4500,60361804
4680,6.041578e+07
4860,60469876
5040,60523228
5220,60575204
5400,60626064
5580,60675004
5760,6.072199e+07
5940,60767184
6120,6.080969e+07
6300,6.084993e+07
6480,60887836
6660,6.092334e+07
6840,6.095649e+07
7020,6.09874e+07
7049.4004,60992236
7200,6.101581e+07
7380,6.103727e+07
7560,61056812
7740,61074604
7920,61090664
8100,61105348
8280,61118584
8460,61130356
8640,6.114066e+07
8820,6.114993e+07
9000,6.115803e+07
9180,6.116489e+07
9360,61170492
9540,61175524
9720,6.117992e+07
9900,6.118346e+07
10080,61186148
10260,61187984
10440,61188964
10620,6.118909e+07
10800,6.118836e+07
10980,61183612
11160,6.117817e+07
11340,61171836
11520,61165464
11700,6.115776e+07
11880,61149916
12060,6.114207e+07
12240,61134228
12420,6.112543e+07
12600,61116412
12780,6.110739e+07
12960,61098372
13140,61088284
13320,6.107776e+07
13500,6.106724e+07
13680,6.105672e+07
13860,6.10462e+07
14040,61035676
14220,61025156
14400,61014636
14580,6.09255e+07
14760,60836132
14940,60746456
15120,6.065677e+07
15300,60566628
15480,60476444
15660,60386256
15840,60296068
16020,60205344
16200,60114492
16380,6.002364e+07
16560,59932788
16740,59841936
16920,59751084
17100,5.966023e+07
17115.61,5.965235e+07
17115.99,5.965216e+07
17115.992,5.965216e+07
17116.023,5.965181e+07, 59652132, 59652132
17280,59569424
17443.887,59486656
17460,59478516
17640,5.938756e+07
17820,59296496
18000,59205396
18180,58866804
18360,58528132
18540,5.818936e+07
18720,57850584
18900,57511656
19080,5.717271e+07
19260,5.683377e+07
19440,56494824
19620,5.61557e+07
19800,55816536
19980,55477372
20160,55138204
20340,5.479904e+07
20520,5.445987e+07
20700,54120708
20880,5.378154e+07
21060,5.344233e+07
21240,5.310308e+07
21420,52763836
21600,52424588
21780,51151652
21960,4.987869e+07
22140,4.860569e+07
22320,4.733269e+07
22500,4.605966e+07
22680,44786628
22860,4.351355e+07
23040,42240468
23220,40967388
23400,39694304
23580,38421196
23760,37148076
23940,35874956
24120,34601836
24300,33328686
24480,32055538
24660,30782388
24840,29509232
25020,28236066
25200,2.69629e+07
25380,26938844
25560,2.691478e+07
25740,26890706
25920,2.686663e+07
26100,26842546
26280,2.681846e+07
26460,2.679436e+07
26640,26770258
26820,26746156
27000,26722056
27180,26697944
27360,2.667383e+07
27540,26649718
27720,26625604
27900,2.660148e+07
28080,26577356
28260,26553234
28440,26529108
28620,2.650498e+07
28800,26480852
28980,28133592
29160,2.978633e+07
29340,31439068
29520,33091802
29700,34744536
29880,36397268
30060,38049996
30240,3.970273e+07
30420,41355452
30600,4.300818e+07
30780,44660908
30960,4.631363e+07
31140,4.796635e+07
31320,49619076
31500,51271796
31680,52924516
31860,54577236
32040,5.622995e+07
32220,57882668
32400,59535384
32580,59741516
32760,59947644
32940,60153776
33120,60359904
33300,60566028
33480,60772156
33660,60978284
33840,61184412
34020,61390536
34200,6.159666e+07
34380,61802784
34560,6.200891e+07
34740,62215036
34920,6.242116e+07
35100,62627284
35280,62833412
35460,63039536
35640,6.324566e+07
35820,63451784
36000,63657908
36180,6.388662e+07
36360,64115336
36540,6.434405e+07
36720,6.457276e+07
36900,6.480147e+07
37080,65030184
37260,6.52589e+07
37440,65487612
37620,65716324
37800,65945036
37980,66173748
38160,6.640246e+07
38340,66631172
38520,66859884
38700,67088596
38880,67317304
39060,6.754602e+07
39240,6.777473e+07
39420,6.800344e+07
39600,6.823215e+07
39780,6.83588e+07
39960,6.848544e+07
40140,6.861209e+07
40320,6.873874e+07
40500,6.886538e+07
40680,68992024
40860,69118664
41040,6.924531e+07
41220,6.937195e+07
41400,6.94986e+07
41580,6.962524e+07
41760,6.975189e+07
41940,69878536
42120,70005176
42300,7.013182e+07
42480,7.025846e+07
42660,7.038511e+07
42840,7.051175e+07
43020,7.06384e+07
43200,7.076504e+07
43380,69054904
43560,67344776
43740,6.563464e+07
43920,63924504
44100,6.221437e+07
44280,6.050423e+07
44460,5.87941e+07
44640,57083964
44820,55373828
45000,53663692
45180,5.195356e+07
45360,50243424
45540,4.853329e+07
45720,4.682315e+07
45900,4.511302e+07
46080,43402884
46260,41692748
46440,39982612
46620,3.827248e+07
46800,36562344
46980,37430932
47160,38299524
47340,39168116
47520,40036704
47700,40905296
47880,41773884
48060,42642476
48240,43511068
48420,44379656
48600,4.524825e+07
48780,46116836
48960,46985428
49140,47854016
49320,4.872261e+07
49500,4.95912e+07
49680,50459788
49860,5.132838e+07
50040,5.219697e+07
50220,5.306556e+07
50400,53934148
50580,54761904
50760,5.558966e+07
50940,56417412
51120,5.724517e+07
51300,58072924
51480,58900676
51660,5.972843e+07
51840,60556188
52020,6.138394e+07
52200,62211696
52380,63039452
52560,63867204
52740,6.469496e+07
52920,6.552271e+07
53100,66350468
53280,6.717822e+07
53460,68005976
53640,6.883373e+07
53820,6.966149e+07
54000,7.048924e+07
54180,7.037014e+07
54360,7.025104e+07
54540,70131944
54720,7.001285e+07
54900,6.989374e+07
55080,6.977465e+07
55260,6.965555e+07
55440,6.953645e+07
55620,6.941735e+07
55800,6.929826e+07
55980,6.917915e+07
56160,69060056
56340,6.894096e+07
56520,6.882186e+07
56700,6.870276e+07
56880,6.858366e+07
57060,6.846456e+07
57240,68345464
57420,6.822637e+07
57600,6.810726e+07
57780,6.790646e+07
57960,6.770566e+07
58140,67504856
58320,67304056
58500,67103252
58680,66902452
58860,6.670165e+07
59040,66500844
59220,6.630004e+07
59400,6.609924e+07
59580,65898436
59760,6.569763e+07
59940,65496828
60120,65296028
60300,65095224
60480,6.489442e+07
60660,6.469362e+07
60840,64492816
61020,64292012
61200,6.409121e+07
61380,63912492
61560,63733772
61740,63555052
61920,63376336
62100,63197616
62280,63018896
62460,62840176
62640,6.266146e+07
62820,6.248274e+07
63000,6.230402e+07
63180,6.21253e+07
63360,61946584
63540,61767864
63720,61589144
63900,61410424
64080,61231708
64260,61052988
64440,60874268
64620,60695548
64800,6.051683e+07
64980,5.878031e+07
65160,5.704462e+07
65340,55308948
65520,5.357328e+07
65700,51837612
65880,50101948
66060,48366284
66240,46630616
66420,4.489495e+07
66600,4.315929e+07
66780,41423624
66960,3.968796e+07
67140,37952296
67320,3.621663e+07
67500,3.448097e+07
67680,32745306
67860,31009642
68040,2.927398e+07
68220,27538316
68400,25802654
68478.03,2.540235e+07
68580,25172116
68760,24856052
68940,24546312
69054.67,24349396
69120,24237094
69300,23927446
69480,23617642
69660,23307592
69840,22997114
70020,22686224
70200,22375184
70380,22063642
70560,21751598
70740,21439056
70920,21126026
71100,20812772
71280,20499016
71460,20184756
71640,19869998
71820,19554736
72000,19238988
72180,20277448
72360,20699296
72540,2.110587e+07
72720,2.150928e+07
72900,21911656
73080,2.231299e+07
73260,2.271352e+07
73440,23113308
73620,2.351248e+07
73800,23910934
73980,24308724
74160,24705854
74340,25102314
74520,25498096
74700,2.589321e+07
74880,26287656
75060,26681448
75240,27074614
75420,27467132
75600,2.7859e+07
75780,28249552
75960,2.895249e+07
76140,29662316
76320,30373674
76500,3.108563e+07
76680,31797828
76860,32510028
77040,33222226
77220,3.393475e+07
77400,34647364
77580,3.535998e+07
77760,36072596
77940,3.678521e+07
78120,37497824
78300,3.821044e+07
78480,38923052
78660,3.963575e+07
78840,4.03485e+07
79020,4.106125e+07
79200,41773996
79380,42388256
79560,43002564
79740,43616924
79920,4.423129e+07
80100,44845732
80280,45460188
80460,46074644
80640,4.66891e+07
80820,47303652
81000,4.791823e+07
81180,4.853281e+07
81360,49147384
81540,49761964
81720,5.037654e+07
81900,50991116
82080,51605696
82260,5.22203e+07
82440,5.283492e+07
82620,53449544
82800,54064164
82980,54347584
83160,54631016
83340,54914464
83520,55197916
83700,5.54814e+07
83880,55764884
84060,56048364
84240,5.633185e+07
84420,5.661537e+07
84600,56898892
84780,57182416
84960,57465944
85140,57749468
85320,58032996
85500,5.831652e+07
85680,58600044
85860,5.888358e+07
86040,5.916712e+07
86220,5.945066e+07
86400,59734204
86580,59734136
86760,5.973408e+07
86940,59734024
87120,59733972
87300,59733932
87480,5.973389e+07
87660,5.973385e+07
87840,59733804
88020,59733776
88200,59733748
88380,5.973372e+07
88560,59733692
88740,59733668
88920,5.973364e+07
89100,59733612
89280,59733584
89460,5.973356e+07
89640,59733536
89820,59733516
90000,59733492
