Month,energy_imported_from_the_market,energy_exported_to_the_market,energy_to_community,energy_from_community
1,0.0,37507.55624452531,34417.01356402251,271.61738475386613
2,0.0,41622.22736994799,22373.571982110017,1490.9311293033445
3,0.0,50341.106637476194,22087.04287125564,3764.513058085874
4,0.0,53777.212551575816,18391.44778741484,5556.216336344984
5,0.0,53054.49609041354,19221.967183235283,4920.561373525157
6,0.0,55397.74234427694,16378.694416046495,6480.624391141062
7,0.0,56538.071997020044,17666.460963704187,6347.5298313322955
8,0.0,55325.49039099875,18072.256511604814,5367.6053670393885
9,0.0,49246.48690442356,19558.088549148888,3014.228919200511
10,0.0,47223.39269105677,23546.1715952778,1355.064083635532
11,0.0,41702.369604906264,26034.890845074322,874.2004108951696
12,0.0,37507.556244525316,34829.08068881341,139.8901860685391
