Hour,ramped_HTSE,ramped_turbogas,Net_grid,total_fossil_fuel_demand
0,0.0,0.0,100.0,0.0
1,1.0,0.8663904504867924,27.325338820297862,549015923.6678153
2,1.0,0.876390450486792,27.398691378297748,560742192.8473431
3,1.0,0.8863510097164079,27.508344445438038,573648351.3558838
4,1.0,0.8955663228166064,27.64515481639306,587512058.7309211
5,1.0,0.9003974511920008,29.55022873241901,595017235.3176185
6,1.0,0.8939360079492468,37.16871712762092,631305488.9130661
7,0.9915121223776652,0.8839360079492465,72.80446748685415,691809765.076094
8,0.9815121223776638,0.8739360079492464,80.29882734814917,690883808.2788149
9,0.9915121223776652,0.8641390764977589,44.81503027342137,697077216.6585802
10,1.0,0.8541390764977588,48.59781955228837,680390430.89937
11,1.0,0.8618258508341647,34.08463685658355,639216381.2575948
12,1.0,0.8718034941298924,31.330963780562314,554623678.7388237
13,0.9900000000000001,0.8618034941298928,89.06456610899482,472191905.41892534
14,0.9799999999999993,0.8518034941298925,78.37515806317893,390119468.17802763
15,0.9900000000000001,0.8468181617301805,41.0245650722848,322520400.7579837
16,1.0,0.8504990451999895,37.57757073444876,287788614.84648407
17,1.0,0.8583135547059367,34.900362470230974,285718498.52457535
18,1.0,0.8515827730899634,40.411428507579366,345846913.2694133
19,0.9900000000000001,0.8415827730899639,84.3656887225006,424121243.1394575
20,0.9799999999999993,0.8315827730899636,108.70217775595752,476891201.14117277
21,0.982688567200778,0.8215827730899635,67.38014240578599,493176478.74359995
22,0.9926885672007782,0.8115827730899636,53.78377527814598,509753234.0903382
23,0.9965536081901505,0.8215827730899635,38.07294177649512,522673455.9414107
24,1.0,0.8315827730899636,32.197286865473096,535139012.9151951
