Hour,energy_imported,energy_exported,h2_exported,gas_exported
0,0.0,69.51927114285715,53.0,0.24054537334469306
1,0.0,69.7194507368421,53.0,0.9305856691833214
2,0.0,69.96355810526316,53.0,0.06498272729576093
3,0.0,69.58932108333333,53.0,0.43725055505093036
4,0.0,68.24166473684211,53.0,0.1482257958876514
5,0.0,63.53057863157895,53.0,0.27146253772010187
6,0.0,56.2691612631579,53.0,0.08315641394604856
7,0.0,69.55612978947369,53.0,0.6484167910403205
8,0.0,90.5017125263158,53.0,0.7876772574168324
9,0.0,94.238896,53.0,0.4995096857312764
10,0.0,99.19603421052632,53.0,0.7055667964570791
11,0.0,83.39437210526316,53.0,0.5360587462560733
12,0.0,68.68799789473684,53.0,0.7373965432673015
13,0.0,82.13709410526316,53.0,0.6599734599079571
14,0.0,86.50685715789473,53.0,0.1530152525338787
15,0.0,78.13968578947369,53.0,0.0994818509362887
16,0.0,67.92963494736843,53.0,0.9552805406064103
17,0.0,43.47318747368421,53.0,0.9578757439007963
18,0.0,14.731648684210526,53.0,0.5371669853934931
19,0.0,23.193029789473684,53.0,0.8621264970014673
20,0.0,48.38575715789474,53.0,0.5538587728142296
21,0.0,57.5456247368421,53.0,0.9335147933685869
22,0.0,61.39712789473684,53.0,0.07958013406326891
23,0.0,61.98502263157894,53.0,0.5610395400473382
24,0.0,69.51927114285715,2.0,0.5320970991221442
25,0.0,69.7194507368421,2.0,0.30379575499012923
26,0.0,69.96355810526316,2.0,0.29590569484398865
27,0.0,69.58932108333333,2.0,0.8275002097232028
28,0.0,68.24166473684211,2.0,0.0014562107315488904
29,0.0,63.53057863157895,2.0,0.6289106042561053
30,0.0,56.2691612631579,2.0,0.8312465780058058
31,0.0,69.55612978947369,2.0,0.7679193166956202
32,0.0,90.5017125263158,2.0,0.19879833084602683
33,0.0,94.238896,2.0,0.761681334722296
34,0.0,99.19603421052632,2.0,0.007338072962418174
35,0.0,83.39437210526316,2.0,0.3217081243389087
36,0.0,68.68799789473684,2.0,0.15514109482169158
37,0.0,82.13709410526316,2.0,0.9340036331192835
38,0.0,86.50685715789473,2.0,0.5389215314977281
39,0.0,78.13968578947369,2.0,0.37796174905481794
40,0.0,67.92963494736843,2.0,0.4860674643256394
41,0.0,43.47318747368421,2.0,0.883397129443065
42,0.0,14.731648684210526,2.0,0.07723586865737997
43,0.0,23.193029789473684,2.0,0.17399647408507035
44,0.0,48.38575715789474,2.0,0.6441063192864925
45,0.0,57.5456247368421,2.0,0.2977138457096703
46,0.0,61.39712789473684,2.0,0.04215673047767077
47,0.0,61.98502263157894,2.0,0.7779759407497575
48,0.0,69.51927114285715,2.0,0.5320970991221442
49,0.0,69.7194507368421,2.0,0.30379575499012923
50,0.0,69.96355810526316,2.0,0.29590569484398865
51,0.0,69.58932108333333,2.0,0.8275002097232028
52,0.0,68.24166473684211,2.0,0.0014562107315488904
53,0.0,63.53057863157895,2.0,0.6289106042561053
54,0.0,56.2691612631579,2.0,0.8312465780058058
55,0.0,69.55612978947369,2.0,0.7679193166956202
56,0.0,90.5017125263158,2.0,0.19879833084602683
57,0.0,94.238896,2.0,0.761681334722296
58,0.0,99.19603421052632,2.0,0.007338072962418174
59,0.0,83.39437210526316,2.0,0.3217081243389087
60,0.0,68.68799789473684,2.0,0.15514109482169158
61,0.0,82.13709410526316,2.0,0.9340036331192835
62,0.0,86.50685715789473,2.0,0.5389215314977281
63,0.0,78.13968578947369,2.0,0.37796174905481794
64,0.0,67.92963494736843,2.0,0.4860674643256394
65,0.0,43.47318747368421,2.0,0.883397129443065
66,0.0,14.731648684210526,2.0,0.07723586865737997
67,0.0,23.193029789473684,2.0,0.17399647408507035
68,0.0,48.38575715789474,2.0,0.6441063192864925
69,0.0,57.5456247368421,2.0,0.2977138457096703
70,0.0,61.39712789473684,2.0,0.04215673047767077
71,0.0,61.98502263157894,2.0,0.7779759407497575
72,0.0,69.51927114285715,53.0,0.24054537334469306
73,0.0,69.7194507368421,53.0,0.9305856691833214
