Hour,ramped_HTSE,ramped_turbogas,Net_grid,total_fossil_fuel_demand
0,0.0,0.0,100.0,0.0
1,1.0,0.8251907199437383,25.79472629392342,351700838.2640073
2,1.0,0.8351907199437385,25.81613480760188,356899722.0000136
3,1.0,0.8451907199437385,25.925551366025367,368660475.6784882
4,1.0,0.8551907199437384,26.090244738620534,384713107.19212526
5,1.0,0.8608525309546841,28.47725187125181,392834734.30617326
6,1.0,0.8599434400455931,33.85673812454026,425838252.41779274
7,1.0,0.8517616218637749,49.81280098859217,482277429.28850263
8,0.9945454545454546,0.8435798036819567,67.72745778853604,480737554.3651495
9,1.0,0.8353979855001387,54.69968358119488,479122557.9669155
10,0.9945454545454546,0.8272161673183205,65.83884044396919,455577725.20085245
11,0.999444180153895,0.8190343491365023,58.590352750680964,442204238.56994975
12,1.0,0.8108525309546839,53.72667241836186,417019999.8199608
13,0.9900000000000001,0.800852530954684,107.86968079894964,389477102.0070309
14,0.9800000000000003,0.790852530954684,95.3106562897338,329542458.9585081
15,0.9900000000000001,0.7826707127728657,57.33791651590441,287232514.07660633
16,1.0,0.7744888945910475,50.82992235837207,264698741.31210148
17,1.0,0.7732520927691503,45.729744231198,262546203.59469193
18,1.0,0.7650702745873321,53.52982821389716,319259315.4956093
19,0.9900000000000001,0.755070274587332,93.19244756062237,376423140.67936987
20,0.9800000000000003,0.7450702745873321,108.78522559966828,400002249.18096066
21,0.9899301940166157,0.7368884564055139,62.73071668617526,392756889.8976349
22,0.9999301940166156,0.7316218681743684,53.5751426858076,392189194.5145197
23,1.0,0.7416218681743684,41.97264967028667,389829879.31514525
24,1.0,0.7516218681743684,32.24619408115982,386886794.35303843
