Hour,ramped_HTSE,ramped_turbogas,Net_grid,total_fossil_fuel_demand
0,0.0,0.0,100.0,0.0
1,0.5999999999999998,1.0,21.140055523556615,10555759.367547795
2,0.5999999999999998,1.0,20.8670182176539,9180934.034458043
3,0.5999999999999998,1.0,20.765337064810073,9783526.45861555
4,0.5999999999999998,1.0,20.785158267990614,11460996.560378088
5,0.5999999999999998,1.0,22.14363508291763,11953891.155387787
6,0.5999999999999998,1.0,25.06937891856378,27136450.79591058
7,0.5999999999999998,1.0,33.076643262537615,56491420.934432805
8,0.5999999999999998,1.0,38.317635062700816,52426126.05159631
9,0.6006016578954406,1.0,3.4623192279348203,50856525.07014573
10,0.5999999999999998,1.0,5.79959147223915,40534948.6723572
11,0.6091666666666665,1.0,-6.50297438438771,33656863.161474645
12,0.6169102189888086,1.0,-7.281152083887307,33053846.36896348
13,0.6083333333333331,0.9995833333333334,44.16538314159663,39713780.93136837
14,0.5999999999999998,1.0,33.01078401520791,33255530.50352742
15,0.6021564647357126,1.0,2.851633730660877,21935486.700628456
16,0.5999999999999998,1.0,9.623566158345373,19032260.519662913
17,0.5999999999999998,1.0,24.695740659441977,18064518.45934105
18,0.5999999999999998,1.0,37.493584722565096,31290326.6170729
19,0.5999999999999998,0.9899999999999997,74.5672595450891,44838715.46157872
20,0.5999999999999998,0.9800000000000003,89.33954206313999,45483876.83512661
21,0.5999999999999998,0.9899999999999997,49.991293825366235,32641180.776252326
22,0.5999999999999998,1.0,37.94182389031701,24768917.21716426
23,0.5999999999999998,1.0,30.68018246891552,18437570.09410549
24,0.5999999999999998,1.0,29.402723270802856,12789540.788740782
