Hour,energy_imported,energy_exported
0,0.0,69.51927114285715
1,0.0,69.7194507368421
2,0.0,69.96355810526316
3,0.0,69.58932108333333
4,0.0,68.24166473684211
5,0.0,63.53057863157895
6,0.0,56.2691612631579
7,0.0,69.55612978947369
8,0.0,90.5017125263158
9,0.0,94.238896
10,0.0,99.19603421052632
11,0.0,83.39437210526316
12,0.0,68.68799789473684
13,0.0,82.13709410526316
14,0.0,86.50685715789473
15,0.0,78.13968578947369
16,0.0,67.92963494736843
17,0.0,43.47318747368421
18,0.0,14.731648684210526
19,0.0,23.193029789473684
20,0.0,48.38575715789474
21,0.0,57.5456247368421
22,0.0,61.39712789473684
23,0.0,61.98502263157894
24,0.0,69.51927114285715
25,0.0,69.7194507368421
26,0.0,69.96355810526316
27,0.0,69.58932108333333
28,0.0,68.24166473684211
29,0.0,63.53057863157895
30,0.0,56.2691612631579
31,0.0,69.55612978947369
32,0.0,90.5017125263158
33,0.0,94.238896
34,0.0,99.19603421052632
35,0.0,83.39437210526316
36,0.0,68.68799789473684
37,0.0,82.13709410526316
38,0.0,86.50685715789473
39,0.0,78.13968578947369
40,0.0,67.92963494736843
41,0.0,43.47318747368421
42,0.0,14.731648684210526
43,0.0,23.193029789473684
44,0.0,48.38575715789474
45,0.0,57.5456247368421
46,0.0,61.39712789473684
47,0.0,61.98502263157894
48,0.0,69.51927114285715
49,0.0,69.7194507368421
50,0.0,69.96355810526316
51,0.0,69.58932108333333
52,0.0,68.24166473684211
53,0.0,63.53057863157895
54,0.0,56.2691612631579
55,0.0,69.55612978947369
56,0.0,90.5017125263158
57,0.0,94.238896
58,0.0,99.19603421052632
59,0.0,83.39437210526316
60,0.0,68.68799789473684
61,0.0,82.13709410526316
62,0.0,86.50685715789473
63,0.0,78.13968578947369
64,0.0,67.92963494736843
65,0.0,43.47318747368421
66,0.0,14.731648684210526
67,0.0,23.193029789473684
68,0.0,48.38575715789474
69,0.0,57.5456247368421
70,0.0,61.39712789473684
71,0.0,61.98502263157894
72,0.0,69.51927114285715
73,0.0,69.7194507368421
74,0.0,69.96355810526316
75,0.0,69.58932108333333
76,0.0,68.24166473684211
77,0.0,63.53057863157895
78,0.0,56.2691612631579
79,0.0,69.55612978947369
80,0.0,90.5017125263158
81,0.0,94.238896
82,0.0,99.19603421052632
83,0.0,83.39437210526316
84,0.0,68.68799789473684
85,0.0,82.13709410526316
86,0.0,86.50685715789473
87,0.0,78.13968578947369
88,0.0,67.92963494736843
89,0.0,43.47318747368421
90,0.0,14.731648684210526
91,0.0,23.193029789473684
92,0.0,48.38575715789474
93,0.0,57.5456247368421
94,0.0,61.39712789473684
95,0.0,61.98502263157894
96,0.0,69.51927114285715
97,0.0,69.7194507368421
98,0.0,69.96355810526316
99,0.0,69.58932108333333
100,0.0,68.24166473684211
101,0.0,63.53057863157895
102,0.0,56.2691612631579
103,0.0,69.55612978947369
104,0.0,90.5017125263158
105,0.0,94.238896
106,0.0,99.19603421052632
107,0.0,83.39437210526316
108,0.0,68.68799789473684
109,0.0,82.13709410526316
110,0.0,86.50685715789473
111,0.0,78.13968578947369
112,0.0,67.92963494736843
113,0.0,43.47318747368421
114,0.0,14.731648684210526
115,0.0,23.193029789473684
116,0.0,48.38575715789474
117,0.0,57.5456247368421
118,0.0,61.39712789473684
119,0.0,61.98502263157894
120,0.0,69.51927114285715
121,0.0,69.7194507368421
122,0.0,69.96355810526316
123,0.0,69.58932108333333
124,0.0,68.24166473684211
125,0.0,63.53057863157895
126,0.0,56.2691612631579
127,0.0,69.55612978947369
128,0.0,90.5017125263158
129,0.0,94.238896
130,0.0,99.19603421052632
131,0.0,83.39437210526316
132,0.0,68.68799789473684
133,0.0,82.13709410526316
134,0.0,86.50685715789473
135,0.0,78.13968578947369
136,0.0,67.92963494736843
137,0.0,43.47318747368421
138,0.0,14.731648684210526
139,0.0,23.193029789473684
140,0.0,48.38575715789474
141,0.0,57.5456247368421
142,0.0,61.39712789473684
143,0.0,61.98502263157894
144,0.0,69.51927114285715
145,0.0,69.7194507368421
146,0.0,69.96355810526316
147,0.0,69.58932108333333
148,0.0,68.24166473684211
149,0.0,63.53057863157895
150,0.0,56.2691612631579
151,0.0,69.55612978947369
152,0.0,90.5017125263158
153,0.0,94.238896
154,0.0,99.19603421052632
155,0.0,83.39437210526316
156,0.0,68.68799789473684
157,0.0,82.13709410526316
158,0.0,86.50685715789473
159,0.0,78.13968578947369
160,0.0,67.92963494736843
161,0.0,43.47318747368421
162,0.0,14.731648684210526
163,0.0,23.193029789473684
164,0.0,48.38575715789474
165,0.0,57.5456247368421
166,0.0,61.39712789473684
167,0.0,61.98502263157894
168,0.0,69.51927114285715
169,0.0,69.7194507368421
170,0.0,69.96355810526316
171,0.0,69.58932108333333
172,0.0,68.24166473684211
173,0.0,63.53057863157895
174,0.0,56.2691612631579
175,0.0,69.55612978947369
176,0.0,90.5017125263158
177,0.0,94.238896
178,0.0,99.19603421052632
179,0.0,83.39437210526316
180,0.0,68.68799789473684
181,0.0,82.13709410526316
182,0.0,86.50685715789473
183,0.0,78.13968578947369
184,0.0,67.92963494736843
185,0.0,43.47318747368421
186,0.0,14.731648684210526
187,0.0,23.193029789473684
188,0.0,48.38575715789474
189,0.0,57.5456247368421
190,0.0,61.39712789473684
191,0.0,61.98502263157894
192,0.0,69.51927114285715
193,0.0,69.7194507368421
194,0.0,69.96355810526316
195,0.0,69.58932108333333
196,0.0,68.24166473684211
197,0.0,63.53057863157895
198,0.0,56.2691612631579
199,0.0,69.55612978947369
200,0.0,90.5017125263158
201,0.0,94.238896
202,0.0,99.19603421052632
203,0.0,83.39437210526316
204,0.0,68.68799789473684
205,0.0,82.13709410526316
206,0.0,86.50685715789473
207,0.0,78.13968578947369
208,0.0,67.92963494736843
209,0.0,43.47318747368421
210,0.0,14.731648684210526
211,0.0,23.193029789473684
212,0.0,48.38575715789474
213,0.0,57.5456247368421
214,0.0,61.39712789473684
215,0.0,61.98502263157894
216,0.0,69.51927114285715
217,0.0,69.7194507368421
218,0.0,69.96355810526316
219,0.0,69.58932108333333
220,0.0,68.24166473684211
221,0.0,63.53057863157895
222,0.0,56.2691612631579
223,0.0,69.55612978947369
224,0.0,90.5017125263158
225,0.0,94.238896
226,0.0,99.19603421052632
227,0.0,83.39437210526316
228,0.0,68.68799789473684
229,0.0,82.13709410526316
230,0.0,86.50685715789473
