Time|s,control_Room.Energy_Excess
0,2.5368539e+08
10,2.5397163e+08
33.228497,2.5462304e+08
100,2.5629878e+08
180,2.58028e+08
300,2.5972173e+08
358.64984,2.5997144e+08
360,2.5997174e+08, 2.6000392e+08
418.08374,2.5321798e+08
485.4471,2.3401506e+08
540,2.1650942e+08
600,2.05103e+08
720,2.2188234e+08
900,2.2036853e+08
971.92377,2.1593282e+08
1000,2.1456875e+08
1080,2.1085442e+08
1260,2.0205045e+08
1440,1.9303808e+08
1620,1.8391864e+08
1800,1.7467794e+08
1948.3269,1.6698186e+08
1948.3289,1.6698174e+08
1948.3479,1.6698064e+08, 1.6698051e+08, 1.6698051e+08
1948.3645,1.6697989e+08
1980,1.653291e+08
2160,1.5591288e+08
2322.0935,1.4740222e+08
2340,1.4645728e+08
2520,1.3703558e+08
2700,1.2758855e+08
2880,118229256
3060,1.0882364e+08
3111.217,1.0613866e+08
3240,9.711233e+07
3420,8.411858e+07
3600,7.07375e+07
3632.1443,6.747031e+07
3780,61219964
3960,6.168713e+07
4140,61758076
4320,61815284
4500,61871144
4680,6.192769e+07
4860,61984348
5040,6.204027e+07
5220,62094812
5400,6.214824e+07
5580,62199748
5760,62249304
5940,62297064
6120,62342132
6300,6.238494e+07
6480,62425416
6660,6.246349e+07
6840,6.24992e+07
7020,6.253268e+07
7049.4004,62537936
7200,62563656
7380,6.258053e+07
7560,6.259548e+07
7740,6.260868e+07
7920,6.262015e+07
8100,62630244
8280,62638892
8460,6.264607e+07
8640,62651788
8820,62656464
9000,6.265998e+07
9180,62662244
9360,62663256
9540,6.26637e+07
9720,62663504
9900,62662456
10080,6.266055e+07
10260,62657796
10440,62654188
10620,62649724
10800,62644404
10980,6.262455e+07
11160,62604004
11340,62582572
11520,62561096
11700,6.253829e+07
11880,6.251534e+07
12060,6.249239e+07
12240,6.246945e+07
12420,62445548
12600,62421428
12780,62397304
12960,6.237318e+07
13140,62347988
13320,62322364
13500,6.229674e+07
13680,62271116
13860,62245492
14040,62219868
14220,62194244
14400,6.216862e+07
14580,62068456
14760,61968052
14940,61867348
15120,61766628
15300,61665456
15480,6.156424e+07
15660,6.146302e+07
15840,6.13618e+07
16020,61260044
16200,6.115816e+07
16380,61056276
16560,60954396
16740,6.085251e+07
16920,60750628
17100,60648744
17115.61,6.063991e+07
17115.99,60639692
17115.992,60639692
17116.023,6.063934e+07, 60639664, 60639664
17280,60546908
17443.887,60454092
17460,6.044497e+07
17640,60342976
17820,60240884
18000,6.013875e+07
18180,5.971414e+07
18360,5.928945e+07
18540,58864656
18720,58439856
18900,58014908
19080,57589944
19260,5.716498e+07
19440,56740012
19620,56314868
19800,55889684
19980,55464496
20160,55039308
20340,54614124
20520,54188936
20700,53763748
20880,53338564
21060,5.291333e+07
21240,5.248806e+07
21420,5.206279e+07
21600,5.163753e+07
21780,50388576
21960,4.91396e+07
22140,4.789059e+07
22320,4.664158e+07
22500,45392536
22680,44143492
22860,42894424
23040,4.164535e+07
23220,4.039627e+07
23400,39147176
23580,37898076
23760,36648964
23940,3.539984e+07
24120,34150708
24300,32901568
24480,31652418
24660,30403258
24840,29154092
25020,27904918
25200,26655736
25380,26603498
25560,26551658
25740,26499816
25920,26447974
26100,2.639612e+07
26280,26344264
26460,26292406
26640,2.624055e+07
26820,26188678
27000,2.61368e+07
27180,26084922
27360,26033044
27540,25981168
27720,2.592929e+07
27900,25877412
28080,25825534
28260,25773652
28440,25721768
28620,25669882
28800,25617996
28980,27812266
29160,30005726
29340,32199166
29520,3.43926e+07
29700,36586028
29880,3.877946e+07
30060,40972884
30240,4.316631e+07
30420,45359736
30600,4.755316e+07
30780,4.974658e+07
30960,51940004
31140,54133424
31320,5.632684e+07
31500,5.852026e+07
31680,60713676
31860,6.290709e+07
32040,65100504
32220,6.729392e+07
32400,6.948733e+07
32580,7.023113e+07
32760,70975336
32940,7.171955e+07
33120,7.246376e+07
33300,73207976
33480,7.395219e+07
33660,7.469641e+07
33840,75440616
34020,7.618483e+07
34200,7.692904e+07
34380,77673256
34560,78417464
34740,7.916168e+07
34920,7.990589e+07
35100,80650104
35280,8.139431e+07
35460,8.213853e+07
35640,8.288274e+07
35820,8.362695e+07
36000,8.437116e+07
36180,8.514383e+07
36360,85916504
36540,86689176
36720,8.746186e+07
36900,8.823453e+07
37080,8.90072e+07
37260,8.977987e+07
37440,9.055254e+07
37620,9.132522e+07
37800,9.209789e+07
37980,9.287056e+07
38160,9.364323e+07
38340,9.44159e+07
38520,9.518858e+07
38700,9.596125e+07
38880,9.673392e+07
39060,9.750659e+07
39240,9.827926e+07
39420,9.905193e+07
39600,9.98246e+07
39780,1.0019186e+08
39960,1.005591e+08
40140,1.0092636e+08
40320,1.0129361e+08
40500,101660856
40680,1.0202811e+08
40860,1.0239536e+08
41040,102762616
41220,103129864
41400,1.0349711e+08
41580,1.0386437e+08
41760,1.0423162e+08
41940,1.0459886e+08
42120,1.0496612e+08
42300,1.0533337e+08
42480,1.0570062e+08
42660,1.0606787e+08
42840,1.0643512e+08
43020,106802376
43200,107169624
43380,1.0519312e+08
43560,103216616
43740,1.0124011e+08
43920,9.926361e+07
44100,9.72871e+07
44280,9.53106e+07
44460,9.33341e+07
44640,9.135759e+07
44820,8.938109e+07
45000,87404584
45180,8.542808e+07
45360,83451576
45540,8.147507e+07
45720,7.949857e+07
45900,7.752206e+07
46080,7.554556e+07
46260,7.356906e+07
46440,7.159255e+07
46620,6.961605e+07
46800,67639544
46980,6.816147e+07
47160,6.868339e+07
47340,6.920532e+07
47520,6.972725e+07
47700,7.024917e+07
47880,70771096
48060,7.129302e+07
48240,7.181495e+07
48420,7.233687e+07
48600,7.28588e+07
48780,7.338073e+07
48960,7.390265e+07
49140,7.442458e+07
49320,74946504
49500,7.546843e+07
49680,7.599035e+07
49860,7.651228e+07
50040,7.703421e+07
50220,7.755613e+07
50400,78078056
50580,78626984
50760,7.917592e+07
50940,7.972485e+07
51120,8.027378e+07
51300,8.08227e+07
51480,8.137164e+07
51660,8.192057e+07
51840,82469496
52020,83018424
52200,8.356736e+07
52380,8.411629e+07
52560,8.466522e+07
52740,8.521414e+07
52920,8.576308e+07
53100,8.631201e+07
53280,86860936
53460,87409864
53640,8.795879e+07
53820,8.850773e+07
54000,8.905666e+07
54180,8.838389e+07
54360,8.771111e+07
54540,87038344
54720,86365576
54900,8.56928e+07
55080,8.502003e+07
55260,8.434726e+07
55440,8.367449e+07
55620,8.300172e+07
55800,8.232895e+07
55980,8.165618e+07
56160,8.098341e+07
56340,8.031064e+07
56520,79637864
56700,78965096
56880,7.829232e+07
57060,7.761955e+07
57240,7.694678e+07
57420,7.627401e+07
57600,7.560124e+07
57780,75008136
57960,7.441504e+07
58140,7.382194e+07
58320,7.322883e+07
58500,72635736
58680,7.204263e+07
58860,7.144953e+07
59040,70856424
59220,7.026333e+07
59400,6.967022e+07
59580,6.907712e+07
59760,6.848402e+07
59940,6.789092e+07
60120,67297816
60300,6.670471e+07
60480,66111612
60660,6.551851e+07
60840,6.492541e+07
61020,64332308
61200,63739204
61380,6.342424e+07
61560,63109276
61740,62794316
61920,6.247935e+07
62100,62164388
62280,61849424
62460,6.153446e+07
62640,61219496
62820,60904536
63000,60589572
63180,6.027461e+07
63360,59959644
63540,5.964468e+07
63720,59329716
63900,5.901475e+07
64080,58699788
64260,58384824
64440,58069864
64620,5.77549e+07
64800,57439936
64980,55824892
65160,5.421367e+07
65340,5.260254e+07
65520,50991424
65700,4.938032e+07
65880,47769212
66060,46158116
66240,4.454702e+07
66420,4.293592e+07
66600,41324824
66780,3.971373e+07
66960,38102636
67140,36491544
67320,3.488045e+07
67500,3.326936e+07
67680,3.165827e+07
67860,30047178
68040,2.843609e+07
68220,26825002
68400,25213914
68445.836,24958956
68580,24579458
68760,24313334
68940,24045768
69120,23778074
69300,23509944
69480,2.324119e+07
69660,22972236
69840,22702896
70020,2.243293e+07
70200,2.216234e+07
70380,21891124
70555.1,21626688
70560,21619298
70740,21346818
70920,21073836
71100,2.080034e+07
71280,20526324
71460,20251802
71640,19976654
71820,19700878
72000,19424496
72180,2.052144e+07
72360,20927502
72540,21316378
72720,21701632
72900,2.208565e+07
73080,22468426
73260,2.285022e+07
73440,23231108
73620,23611228
73800,23990466
73980,24368884
74160,24746482
74340,25123252
74520,25499184
74700,2.587429e+07
74880,2.624857e+07
75060,26622038
75240,26994728
75420,27366612
75600,27737694
75780,28059144
75960,28732724
76140,29414066
