Hour,ramped_HTSE,ramped_turbogas,Net_grid,total_fossil_fuel_demand
0,0.0,0.0,100.0,0.0
1,1.0,0.6,31.904353609524232,420525360.04292727
2,1.0,0.6,32.03204164152919,425266346.71083426
3,1.0,0.6,32.37537333655253,435741465.69698966
4,1.0,0.6,32.803565525754905,448555173.57537454
5,1.0,0.6,35.315089618895044,455363657.56464714
6,1.0,0.6,42.358352568007255,482732778.5587766
7,1.0,0.6950252452967929,64.93168726450723,526184639.12006
8,1.0,0.8520636906087473,77.41761430758268,520956282.6816953
9,1.0,0.6,56.74809498946889,525463720.3408596
10,1.0,0.7316037970089246,68.90162951427722,517180954.25069726
11,1.0,0.6269517336488122,58.53285599285769,508541518.39233816
12,1.0,0.6005440262182028,53.801781856632445,472269770.1221124
13,0.9518467949154137,1.0,107.23102883215222,437876177.4233402
14,0.976010164368367,0.9957485653303351,97.07296355827997,369443747.82729465
15,1.0,0.6081768576228334,56.59774998693577,338348126.0804053
16,1.0,0.6,50.39817641790603,315674503.9652591
17,1.0,0.6,43.28694051515989,301522961.68004924
18,1.0,0.6,52.720202299367514,375433202.306381
19,0.9893604310334323,1.0,94.55936998870516,435742454.16490626
20,0.9389216992262366,1.0,111.37998454837805,455362126.28218305
21,1.0,0.689665416854144,67.5104467571582,451272258.7444618
22,1.0,0.6,58.03452235567671,452157448.428757
23,1.0,0.6,44.829127843640435,451474199.40423083
24,1.0,0.6,38.92892108922027,450620450.94183975
