Hour,ramped_HTSE,ramped_turbogas,Net_grid,total_fossil_fuel_demand
0,0.0,0.0,100.0,0.0
1,1.0,0.6000000000000005,27.325338820297862,549015923.6678153
2,1.0,0.6000000000000005,27.398691378297748,560742192.8473431
3,1.0,0.6000000000000005,27.508344445438038,573648351.3558838
4,1.0,0.6000000000000005,27.64515481639306,587512058.7309211
5,1.0,0.6000000000000005,29.55022873241901,595017235.3176185
6,1.0,0.6000000000000005,37.16871712762092,631305488.9130661
7,1.0,0.7898016801940085,72.80446748685415,691809765.076094
8,1.0,0.9231513636691444,80.29882734814917,690883808.2788149
9,1.0,0.6000000000000005,44.81503027342137,697077216.6585802
10,1.0,0.6000000000000005,48.59781955228837,680390430.89937
11,1.0,0.6000000000000005,34.08463685658355,639216381.2575948
12,1.0,0.6000000000000005,31.330963780562314,554623678.7388237
13,0.9974100945662535,0.9958135432341086,89.06456610899482,472191905.41892534
14,1.0,0.8965541942871009,78.37515806317893,390119468.17802763
15,1.0,0.6000000000000005,41.0245650722848,322520400.7579837
16,1.0,0.6000000000000005,37.57757073444876,287788614.84648407
17,1.0,0.6000000000000005,34.900362470230974,285718498.52457535
18,1.0,0.6000000000000005,40.411428507579366,345846913.2694133
19,1.0,0.9762126573049356,84.3656887225006,424121243.1394575
20,0.9472637764611913,1.0,108.70217775595752,476891201.14117277
21,1.0,0.6814632148971377,67.38014240578599,493176478.74359995
22,1.0,0.6000000000000005,53.78377527814598,509753234.0903382
23,1.0,0.6000000000000005,38.07294177649512,522673455.9414107
24,1.0,0.6000000000000005,32.197286865473096,535139012.9151951
