Month,energy_imported_from_the_market,energy_exported_to_the_market,energy_to_community,energy_from_community
1,0.0,37138.3065024485,34990.909371872905,0.0
2,0.0,36344.51959517168,25234.331025671323,9.853298255894284
3,0.0,43841.879188788844,24578.92442737414,279.06455798781155
4,0.0,46412.964000963664,20294.71001880621,603.9830447255945
5,0.0,47545.139659078326,20713.84945930737,536.2828485290926
6,0.0,47220.8546249787,18507.843693927873,707.6919256878998
7,0.0,48840.48527893046,19678.924358871784,560.6799930480213
8,0.0,48156.45278214349,19998.28072374976,484.94320892123153
9,0.0,46194.80587979825,20914.643844684513,143.57074270635172
10,0.0,43110.246132888475,24369.360959478523,18.626697423852015
11,0.0,38069.60948809361,28134.272379872808,1.3341746047321195
12,0.0,36280.28107804912,34808.72389163106,0.0
